model,frequency_Hz,Omega,inertial_to_elastic,D_viscous_to_elastic,w_amplitude_um,dynamic_compliance_uL_per_mmHg,phase_lag_deg,hysteresis_J_per_cycle,wall_loss_fraction,radiation_loss_fraction,nonlinearity_index,THD,third_to_fundamental,linear_exact_amplitude_um,linear_exact_phase_deg
nonlinear,0.129154966501488,3.29404127423128e-05,1.08507079163392e-09,0.00539602412753377,19.7402302468167,0.198450439435426,-0.292587807790085,1.69782711142123e-07,0.997300384574371,0.00269961542562862,0.243547931373337,0.0181673975148944,0.0181413453962699,NaN,NaN
nonlinear,0.146779926762207,3.74355822373879e-05,1.40142281745223e-09,0.00613238536388286,19.7401615911627,0.198449749233511,-0.332514600614928,1.92945885201793e-07,0.997300384574371,0.00269961542562863,0.24354623727826,0.0181667108902057,0.0181406645731695,NaN,NaN
nonlinear,0.166810053720006,4.25441790427861e-05,1.81000717042464e-09,0.00696923315432847,19.7400729452118,0.198448858067213,-0.377889569231684,2.19227948499577e-07,0.997300384574371,0.00269961542562863,0.243544049926426,0.0181658243199705,0.0181397854918701,NaN,NaN
nonlinear,0.189573565240638,4.83499136983354e-05,2.33771415463649e-09,0.00792028026246509,19.7399584426222,0.198447706961631,-0.429456024021988,2.49199851664059e-07,0.997300384574371,0.00269961542562862,0.243541224572783,0.0181646793656972,0.0181386502042503,NaN,NaN
nonlinear,0.215443469003188,5.49479201910437e-05,3.0192739333213e-09,0.00900111074588356,19.7398105603525,0.198446220286905,-0.488058604151206,2.83202194883523e-07,0.997300384574371,0.00269961542562862,0.243537575599128,0.0181632008753932,0.0181371841903193,NaN,NaN
nonlinear,0.244843674682223,6.24463148405837e-05,3.8995422371693e-09,0.0102294353198108,19.7396195689357,0.198444300231762,-0.554657108260784,3.21842572857786e-07,0.997300384574371,0.00269961542562863,0.243532862953942,0.0181612917977507,0.0181352912113701,NaN,NaN
nonlinear,0.278255940220712,7.0967967916007e-05,5.0364524701274e-09,0.0116253815686078,19.7393729038115,0.198441820483468,-0.630342121358865,3.65701713450569e-07,0.997300384574371,0.00269961542562863,0.243526776647331,0.0181588268966565,0.0181328470783479,NaN,NaN
nonlinear,0.316227766016838,8.06525170137698e-05,6.50482850065643e-09,0.013211823760593,19.7390543399685,0.198438617930415,-0.716352822251309,4.15651083877399e-07,0.997300384574371,0.00269961542562863,0.243518916397643,0.0181556446707638,0.0181296916309939,NaN,NaN
nonlinear,0.359381366380463,9.16586551887059e-05,8.40130907100208e-09,0.0150147576706056,19.7386429261718,0.198434481947819,-0.814097060528525,4.72352020593595e-07,0.997300384574371,0.00269961542562862,0.24350876535432,0.0181515368134849,0.0181256182909828,NaN,NaN
nonlinear,0.408423865267452,0.000104166731331742,1.08507079163392e-08,0.0170637265522296,19.7381116102827,0.198429140577919,-0.925174274628176,5.36781066898824e-07,0.997300384574371,0.00269961542562862,0.243495656212486,0.0181462349058888,0.0181203608479463,NaN,NaN
